year,district,crime_type,crime_count
2023,Kilinochchi,Abduction,6
2023,Kilinochchi,Agriculture Theft > 50k,0
2023,Kilinochchi,Arson,16
2023,Kilinochchi,Attempt to Murder,4
2023,Kilinochchi,Cattle Theft > 50k,36
2023,Kilinochchi,Cheating / Breach of Trust > 300k,50
2023,Kilinochchi,Counterfeiting Currency,4
2023,Kilinochchi,Cruelty to Children,1
2023,Kilinochchi,Extortions,0
2023,Kilinochchi,Grave Sexual Abuse,1
2023,Kilinochchi,Grievous Hurt,24
2023,Kilinochchi,House Breaking,138
2023,Kilinochchi,Human Trafficking,0
2023,Kilinochchi,Hurt by Dangerous Weapons,57
2023,Kilinochchi,Illegal Firearms,1
2023,Kilinochchi,Kidnapping,4
2023,Kilinochchi,Mischief > 50k,12
2023,Kilinochchi,Murder,12
2023,Kilinochchi,Narcotic Drugs,22
2023,Kilinochchi,Obstructing Police,5
2023,Kilinochchi,Offences Against The State,0
2023,Kilinochchi,Offensive Weapons Act,1
2023,Kilinochchi,Property Theft > 50k,87
2023,Kilinochchi,Rape (Adult),1
2023,Kilinochchi,Robbery,56
2023,Kilinochchi,Sexual Exploitation Of Children,0
2023,Kilinochchi,Statutory Rape (Consensual),10
2023,Kilinochchi,Statutory Rape (Non-consensual),7
2023,Kilinochchi,Unlawful Assembly/ Riot,0
2023,Kks,Abduction,5
2023,Kks,Agriculture Theft > 50k,0
2023,Kks,Arson,9
2023,Kks,Attempt to Murder,2
2023,Kks,Cattle Theft > 50k,12
2023,Kks,Cheating / Breach of Trust > 300k,11
2023,Kks,Counterfeiting Currency,1
2023,Kks,Cruelty to Children,0
2023,Kks,Extortions,0
2023,Kks,Grave Sexual Abuse,0
2023,Kks,Grievous Hurt,18
2023,Kks,House Breaking,115
2023,Kks,Human Trafficking,0
2023,Kks,Hurt by Dangerous Weapons,21
2023,Kks,Illegal Firearms,0
2023,Kks,Kidnapping,0
2023,Kks,Mischief > 50k,4
2023,Kks,Murder,5
2023,Kks,Narcotic Drugs,13
2023,Kks,Obstructing Police,4
2023,Kks,Offences Against The State,0
2023,Kks,Offensive Weapons Act,0
2023,Kks,Property Theft > 50k,46
2023,Kks,Rape (Adult),2
2023,Kks,Robbery,39
2023,Kks,Sexual Exploitation Of Children,4
2023,Kks,Statutory Rape (Consensual),19
2023,Kks,Statutory Rape (Non-consensual),2
2023,Kks,Unlawful Assembly/ Riot,0
2023,Mannar,Abduction,6
2023,Mannar,Agriculture Theft > 50k,2
2023,Mannar,Arson,3
2023,Mannar,Attempt to Murder,1
2023,Mannar,Cattle Theft > 50k,9
2023,Mannar,Cheating / Breach of Trust > 300k,36
2023,Mannar,Counterfeiting Currency,2
2023,Mannar,Cruelty to Children,0
2023,Mannar,Extortions,0
2023,Mannar,Grave Sexual Abuse,2
2023,Mannar,Grievous Hurt,12
2023,Mannar,House Breaking,54
2023,Mannar,Human Trafficking,0
2023,Mannar,Hurt by Dangerous Weapons,11
2023,Mannar,Illegal Firearms,0
2023,Mannar,Kidnapping,1
2023,Mannar,Mischief > 50k,10
2023,Mannar,Murder,4
2023,Mannar,Narcotic Drugs,51
2023,Mannar,Obstructing Police,3
2023,Mannar,Offences Against The State,0
2023,Mannar,Offensive Weapons Act,0
2023,Mannar,Property Theft > 50k,36
2023,Mannar,Rape (Adult),4
2023,Mannar,Robbery,6
2023,Mannar,Sexual Exploitation Of Children,0
2023,Mannar,Statutory Rape (Consensual),8
2023,Mannar,Statutory Rape (Non-consensual),1
2023,Mannar,Unlawful Assembly/ Riot,0
2023,Matale,Abduction,11
2023,Matale,Agriculture Theft > 50k,2
2023,Matale,Arson,9
2023,Matale,Attempt to Murder,7
2023,Matale,Cattle Theft > 50k,18
2023,Matale,Cheating / Breach of Trust > 300k,56
2023,Matale,Counterfeiting Currency,0
2023,Matale,Cruelty to Children,2
2023,Matale,Extortions,2
2023,Matale,Grave Sexual Abuse,21
2023,Matale,Grievous Hurt,59
2023,Matale,House Breaking,196
2023,Matale,Human Trafficking,0
2023,Matale,Hurt by Dangerous Weapons,40
2023,Matale,Illegal Firearms,2
2023,Matale,Kidnapping,2
2023,Matale,Mischief > 50k,6
2023,Matale,Murder,6
2023,Matale,Narcotic Drugs,24
2023,Matale,Obstructing Police,5
2023,Matale,Offences Against The State,0
2023,Matale,Offensive Weapons Act,1
2023,Matale,Property Theft > 50k,92
2023,Matale,Rape (Adult),6
2023,Matale,Robbery,34
2023,Matale,Sexual Exploitation Of Children,0
2023,Matale,Statutory Rape (Consensual),27
2023,Matale,Statutory Rape (Non-consensual),11
2023,Matale,Unlawful Assembly/ Riot,0
2023,Matara,Abduction,24
2023,Matara,Agriculture Theft > 50k,1
2023,Matara,Arson,11
