year,month,district,crime_type,crime_count
2023,2,Anurdhapura,Cattle Theft > 50k,9
2023,3,Anurdhapura,Cattle Theft > 50k,9
2023,4,Anurdhapura,Cattle Theft > 50k,11
2023,5,Anurdhapura,Cattle Theft > 50k,9
2023,6,Anurdhapura,Cattle Theft > 50k,11
2023,7,Anurdhapura,Cattle Theft > 50k,12
2023,8,Anurdhapura,Cattle Theft > 50k,9
2023,9,Anurdhapura,Cattle Theft > 50k,9
2023,10,Anurdhapura,Cattle Theft > 50k,11
2023,11,Anurdhapura,Cattle Theft > 50k,11
2023,12,Anurdhapura,Cattle Theft > 50k,13
2023,1,Anurdhapura,Cheating / Breach of Trust > 300k,12
2023,2,Anurdhapura,Cheating / Breach of Trust > 300k,12
2023,3,Anurdhapura,Cheating / Breach of Trust > 300k,15
2023,4,Anurdhapura,Cheating / Breach of Trust > 300k,12
2023,5,Anurdhapura,Cheating / Breach of Trust > 300k,13
2023,6,Anurdhapura,Cheating / Breach of Trust > 300k,18
2023,7,Anurdhapura,Cheating / Breach of Trust > 300k,16
2023,8,Anurdhapura,Cheating / Breach of Trust > 300k,13
2023,9,Anurdhapura,Cheating / Breach of Trust > 300k,16
2023,10,Anurdhapura,Cheating / Breach of Trust > 300k,13
2023,11,Anurdhapura,Cheating / Breach of Trust > 300k,18
2023,12,Anurdhapura,Cheating / Breach of Trust > 300k,18
2023,1,Anurdhapura,Counterfeiting Currency,0
2023,2,Anurdhapura,Counterfeiting Currency,0
2023,3,Anurdhapura,Counterfeiting Currency,0
2023,4,Anurdhapura,Counterfeiting Currency,0
2023,5,Anurdhapura,Counterfeiting Currency,0
2023,6,Anurdhapura,Counterfeiting Currency,1
2023,7,Anurdhapura,Counterfeiting Currency,0
2023,8,Anurdhapura,Counterfeiting Currency,0
2023,9,Anurdhapura,Counterfeiting Currency,0
2023,10,Anurdhapura,Counterfeiting Currency,0
2023,11,Anurdhapura,Counterfeiting Currency,0
2023,12,Anurdhapura,Counterfeiting Currency,0
2023,1,Anurdhapura,Cruelty to Children,0
2023,2,Anurdhapura,Cruelty to Children,0
2023,3,Anurdhapura,Cruelty to Children,0
2023,4,Anurdhapura,Cruelty to Children,0
2023,5,Anurdhapura,Cruelty to Children,1
2023,6,Anurdhapura,Cruelty to Children,0
2023,7,Anurdhapura,Cruelty to Children,0
2023,8,Anurdhapura,Cruelty to Children,0
2023,9,Anurdhapura,Cruelty to Children,0
2023,10,Anurdhapura,Cruelty to Children,0
2023,11,Anurdhapura,Cruelty to Children,0
2023,12,Anurdhapura,Cruelty to Children,0
2023,1,Anurdhapura,Extortions,0
2023,2,Anurdhapura,Extortions,0
2023,3,Anurdhapura,Extortions,0
2023,4,Anurdhapura,Extortions,0
2023,5,Anurdhapura,Extortions,0
2023,6,Anurdhapura,Extortions,0
2023,7,Anurdhapura,Extortions,1
2023,8,Anurdhapura,Extortions,0
2023,9,Anurdhapura,Extortions,0
2023,10,Anurdhapura,Extortions,0
2023,11,Anurdhapura,Extortions,0
2023,12,Anurdhapura,Extortions,1
2023,1,Anurdhapura,Grave Sexual Abuse,3
2023,2,Anurdhapura,Grave Sexual Abuse,2
2023,3,Anurdhapura,Grave Sexual Abuse,3
2023,4,Anurdhapura,Grave Sexual Abuse,3
2023,5,Anurdhapura,Grave Sexual Abuse,5
2023,6,Anurdhapura,Grave Sexual Abuse,5
2023,7,Anurdhapura,Grave Sexual Abuse,4
2023,8,Anurdhapura,Grave Sexual Abuse,4
2023,9,Anurdhapura,Grave Sexual Abuse,3
2023,10,Anurdhapura,Grave Sexual Abuse,3
2023,11,Anurdhapura,Grave Sexual Abuse,5
2023,12,Anurdhapura,Grave Sexual Abuse,5
2023,1,Anurdhapura,Grievous Hurt,4
2023,2,Anurdhapura,Grievous Hurt,4
2023,3,Anurdhapura,Grievous Hurt,5
2023,4,Anurdhapura,Grievous Hurt,4
2023,5,Anurdhapura,Grievous Hurt,6
2023,6,Anurdhapura,Grievous Hurt,8
2023,7,Anurdhapura,Grievous Hurt,8
2023,8,Anurdhapura,Grievous Hurt,5
2023,9,Anurdhapura,Grievous Hurt,7
2023,10,Anurdhapura,Grievous Hurt,7
2023,11,Anurdhapura,Grievous Hurt,9
2023,12,Anurdhapura,Grievous Hurt,9
2023,1,Anurdhapura,House Breaking,39
2023,2,Anurdhapura,House Breaking,36
2023,3,Anurdhapura,House Breaking,39
2023,4,Anurdhapura,House Breaking,47
2023,5,Anurdhapura,House Breaking,49
2023,6,Anurdhapura,House Breaking,46
2023,7,Anurdhapura,House Breaking,49
2023,8,Anurdhapura,House Breaking,41
2023,9,Anurdhapura,House Breaking,52
2023,10,Anurdhapura,House Breaking,49
2023,11,Anurdhapura,House Breaking,52
2023,12,Anurdhapura,House Breaking,64
2023,1,Anurdhapura,Human Trafficking,0
2023,2,Anurdhapura,Human Trafficking,0
2023,3,Anurdhapura,Human Trafficking,0
2023,4,Anurdhapura,Human Trafficking,0
2023,5,Anurdhapura,Human Trafficking,0
2023,6,Anurdhapura,Human Trafficking,0
2023,7,Anurdhapura,Human Trafficking,0
2023,8,Anurdhapura,Human Trafficking,0
2023,9,Anurdhapura,Human Trafficking,0
2023,10,Anurdhapura,Human Trafficking,0
2023,11,Anurdhapura,Human Trafficking,0
2023,12,Anurdhapura,Human Trafficking,0
2023,1,Anurdhapura,Hurt by Dangerous Weapons,7
2023,2,Anurdhapura,Hurt by Dangerous Weapons,7
2023,3,Anurdhapura,Hurt by Dangerous Weapons,8
2023,4,Anurdhapura,Hurt by Dangerous Weapons,8
2023,5,Anurdhapura,Hurt by Dangerous Weapons,11
2023,6,Anurdhapura,Hurt by Dangerous Weapons,10
2023,7,Anurdhapura,Hurt by Dangerous Weapons,11
2023,8,Anurdhapura,Hurt by Dangerous Weapons,10
2023,9,Anurdhapura,Hurt by Dangerous Weapons,10
2023,10,Anurdhapura,Hurt by Dangerous Weapons,8
2023,11,Anurdhapura,Hurt by Dangerous Weapons,10
2023,12,Anurdhapura,Hurt by Dangerous Weapons,13
2023,1,Anurdhapura,Illegal Firearms,0
2023,2,Anurdhapura,Illegal Firearms,0
2023,3,Anurdhapura,Illegal Firearms,0
2023,4,Anurdhapura,Illegal Firearms,0
2023,5,Anurdhapura,Illegal Firearms,0
2023,6,Anurdhapura,Illegal Firearms,1
2023,7,Anurdhapura,Illegal Firearms,0
2023,8,Anurdhapura,Illegal Firearms,0
2023,9,Anurdhapura,Illegal Firearms,0
2023,10,Anurdhapura,Illegal Firearms,0
2023,11,Anurdhapura,Illegal Firearms,0
2023,12,Anurdhapura,Illegal Firearms,1
2023,1,Anurdhapura,Kidnapping,0
2023,2,Anurdhapura,Kidnapping,0
2023,3,Anurdhapura,Kidnapping,1
